no,item_name,item_price,purchase_date
120,Wall Mirror,30,21/01/2024
121,Plant Stand,38,21/01/2024
122,Sneakers,16,22/01/2024
123,Sculpture,55,22/01/2024
124,Desk Drawer Organizer,58,22/01/2024
125,Desk Cable Management,148,22/01/2024
126,Corkboard,115,22/01/2024
127,Desk,68,23/01/2024
128,Wall Art,27,23/01/2024
129,Keyboard,55,24/01/2024
130,Mirror Frame,133,24/01/2024
131,Desk Organizer Set,112,24/01/2024
132,File Organizer,97,24/01/2024
133,Mouse Pad,34,25/01/2024
134,Camera,136,25/01/2024
135,Coat Rack,80,25/01/2024
136,Desk Chair Mat,106,25/01/2024
137,Desk Drawer Organizer Bins,127,25/01/2024
138,Drawer Organizer Tray,146,25/01/2024
139,Sunglasses,47,25/01/2024
140,Wall Shelf,140,25/01/2024
141,Mouse Pad,14,25/01/2024
142,Desk Lamp,31,25/01/2024
143,Drawer Dividers,79,25/01/2024
144,Desk Chair Mat,17,25/01/2024
145,Tea Set,147,26/01/2024
146,Bathroom Organizer,94,26/01/2024
147,Desk Shelf Organizer,47,26/01/2024
148,Desk Chair,15,26/01/2024
149,Headphones,13,27/01/2024
150,Phone Stand,38,27/01/2024
151,Water Bottle,103,27/01/2024
152,Office Chair,26,27/01/2024
153,Drawer Organizer,109,27/01/2024
154,Whiteboard,82,27/01/2024
155,Wall Clock,77,27/01/2024
156,Storage Bins,43,27/01/2024
157,Shelf,30,28/01/2024
158,Desk Chair,84,28/01/2024
159,Painting,25,29/01/2024
160,Wall Organizer,136,29/01/2024
161,Desk Tray Organizer,46,29/01/2024
162,Pencil Holder,122,29/01/2024
163,Office Plants,90,29/01/2024
164,Coffee Table,49,29/01/2024
165,Notebook,127,30/01/2024
166,Bluetooth Earbuds,94,30/01/2024
167,Wall Mirror,124,30/01/2024
168,Desk Calendar,24,30/01/2024
169,Desk Organizer,37,30/01/2024
170,Desk Mat,103,30/01/2024
171,Bookcase,70,30/01/2024
172,Desk Cable Organizer,58,31/01/2024
173,itemname,101,24/01/2024
174,erg,119,24/01/2024
