no,item_name,item_price,purchase_date
168,Plant Stand,44,21/01/2024
21,Sneakers,56,22/01/2024
70,Sculpture,56,22/01/2024
97,Desk Drawer Organizer,51,22/01/2024
111,Desk Cable Management,129,22/01/2024
146,Corkboard,45,22/01/2024
12,Desk,82,23/01/2024
140,Wall Art,94,23/01/2024
20,Keyboard,19,24/01/2024
59,Mirror Frame,70,24/01/2024
76,Desk Organizer Set,31,24/01/2024
92,File Organizer,47,24/01/2024
26,Mouse Pad,50,25/01/2024
42,Camera,129,25/01/2024
67,Coat Rack,122,25/01/2024
89,Desk Chair Mat,52,25/01/2024
117,Desk Drawer Organizer Bins,64,25/01/2024
118,Drawer Organizer Tray,18,25/01/2024
121,Sunglasses,64,25/01/2024
122,Wall Shelf,18,25/01/2024
136,Mouse Pad,43,25/01/2024
139,Desk Lamp,27,25/01/2024
142,Drawer Dividers,117,25/01/2024
145,Desk Chair Mat,69,25/01/2024
77,Tea Set,61,26/01/2024
82,Bathroom Organizer,114,26/01/2024
113,Desk Shelf Organizer,136,26/01/2024
127,Desk Chair,71,26/01/2024
4,Headphones,38,27/01/2024
15,Phone Stand,16,27/01/2024
16,Water Bottle,101,27/01/2024
34,Office Chair,122,27/01/2024
62,Drawer Organizer,15,27/01/2024
80,Whiteboard,78,27/01/2024
134,Wall Clock,20,27/01/2024
144,Storage Bins,144,27/01/2024
57,Shelf,76,28/01/2024
60,Desk Chair,117,28/01/2024
25,Painting,121,29/01/2024
95,Wall Organizer,87,29/01/2024
104,Desk Tray Organizer,120,29/01/2024
108,Pencil Holder,22,29/01/2024
131,Office Plants,89,29/01/2024
167,Coffee Table,9,29/01/2024
11,Notebook,14,30/01/2024
58,Bluetooth Earbuds,11,30/01/2024
71,Wall Mirror,148,30/01/2024
86,Desk Calendar,104,30/01/2024
151,Desk Organizer,9,30/01/2024
161,Desk Mat,106,30/01/2024
170,Bookcase,76,30/01/2024
107,Desk Cable Organizer,48,31/01/2024
